PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,CRASH_DATE_x,SEX,AGE,SAFETY_EQUIPMENT,PEDPEDAL_ACTION,PEDPEDAL_LOCATION,BAC_RESULT,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Type
O1916531,BICYCLE,cb42e012ff06256bac054a737f10a7baeac20a2a935e2d216d5ecb77b4f5fddede73e1ecfcccf47f310c095e7d6edae709fb33976f035a3238c0b5efbd963650,09/27/2024 10:54:00 PM,M,23.0,HELMET NOT USED,UNKNOWN/NA,IN ROADWAY,TEST NOT OFFERED,,35,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MICHIGAN AVE,41.8808927846,-87.6241895271,POINT (-87.624189527131 41.880892784602),electric_bike
O1913302,BICYCLE,f4759be60e2b2affa94fb741a024fc3d58cdc7e06031ba4e8468ab0a18733ea5df548c7c8135654801aaa0737d622229dfa3d0b7b84db069ac48c031322cc428,09/23/2024 04:43:00 PM,F,32.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WABASH AVE,41.8916506877,-87.6265698496,POINT (-87.626569849581 41.891650687678),electric_bike
O1908979,BICYCLE,3b509e100e4cc10bc096e2f3a1badeed91df9eda17a87d8b6875804f63d223be04c4d89448306f6ba61272395441d0783e075cc59562d457a6cad2a819fe883b,09/17/2024 08:25:00 PM,F,31.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),UNKNOWN/NA,BIKE LANE,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,PEDALCYCLIST,TRAFFIC ROUTE,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WABASH AVE,41.8675245555,-87.6256838262,POINT (-87.625683826157 41.867524555498),electric_scooter
O1908056,BICYCLE,82166913ea962a6df583971a2172268190dbab7eddac16319ad2759b06d23d5f879b27e3bf02e763a41bbf96528738438f64e67c94ac3669adc1e4970a811d1c,09/16/2024 05:32:00 PM,X,28.0,HELMET NOT USED,AGAINST TRAFFIC,BIKEWAY,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,PEDALCYCLIST,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,HALSTED ST,41.8539227861,-87.6466759794,POINT (-87.646675979396 41.853922786104),classic_bike
O1907890,NON-MOTOR VEHICLE,a8d3b80638e732aa396167473e896bd6c86e2d7486c8f33b7448973f31c4b82815e28e53508ee774e766379a8a61e217f91a4a9540fc97994713e9c37f439887,09/14/2024 11:00:00 PM,F,23.0,HELMET NOT USED,UNKNOWN/NA,BIKEWAY,TEST NOT OFFERED,,30,UNKNOWN,UNKNOWN,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,LINCOLN AVE,41.9239529807,-87.6464616294,POINT (-87.64646162935 41.923952980727),electric_bike
O1904562,BICYCLE,257d03ed7a7ff86496200f5257b4af2dbddecd41429d0adff0189eb03f634e7b0c4edd0eda256c599a3a22aaa2e6b9809b1e8379da529321603686c38b6f6302,09/12/2024 08:35:00 AM,M,24.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,FULLERTON AVE,41.9245243043,-87.7145086554,POINT (-87.714508655419 41.924524304297),classic_bike
O1904280,BICYCLE,5a89239a3bd69976e517819308ba2d592f000ac0d21a0a45a82b31f5ae3f32a6176ef84f9afccf25bf7aa5cd042f2b2798b3d323abd2d74f083e3df7760edbf1,09/11/2024 02:44:00 PM,F,,HELMET NOT USED,WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,SOUTHPORT AVE,41.9480045508,-87.6641862307,POINT (-87.664186230701 41.94800455083),electric_bike
O1903043,BICYCLE,3d642cde1ffb736419a9d8bec586da07f08e0c0844d84376c39008544a47a9e89c267aa3ca4237936b6cf50cf0a08a9190ed7aa065508369f50dd3308aa9df71,09/09/2024 07:04:00 PM,F,45.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,15,CLEAR,DUSK,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,FULTON MARKET,41.8869007617,-87.6483541263,POINT (-87.648354126268 41.886900761733),classic_bike
O1901476,NON-MOTOR VEHICLE,45abb7d242974a74f8ee78147d7b460d11cb022142fca3c2600a30faa19b0d76d5fc30cda06bfd6c707730a3175e81620fad549f1c30e6e3c64c124057f0b77c,09/07/2024 04:15:00 PM,M,26.0,NONE PRESENT,OTHER ACTION,SHOULDER,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9504574117,-87.6593142611,POINT (-87.659314261116 41.950457411659),electric_bike
O1899546,BICYCLE,f5ca4702acd10791d9424a1cea2a28843629ffc075bfbb37185ca332b7a41d29f12a6021dd728b3a3c48917ef9db88418f88a33f9891a104c66934f0a419b382,09/04/2024 07:15:00 PM,F,25.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9364425782,-87.6476648749,POINT (-87.647664874864 41.936442578178),classic_bike
O1898304,BICYCLE,a91266396811320ae0c1c1f4f3942ebd2f5da3c357239af0e986a334ce471cb7d3c91a0b39705d2a273963c73e93093f8fa841da20a0dfcd911f5d35f75791a4,09/03/2024 12:00:00 PM,M,,HELMET NOT USED,CROSSING - NO CONTROLS (AT INTERSECTION),IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,ADAMS ST,41.8792031111,-87.6395518214,POINT (-87.639551821383 41.879203111052),classic_bike
O1894622,BICYCLE,f4482eb95ed97ab52f65b569e527ea475ccb9579c4b867c26727a1f84fcd132d8c493806725e35543fced59044992302892380b20b8284d5b1372e30f7c3c6f4,08/29/2024 08:45:00 AM,M,24.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),NO ACTION,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DEARBORN ST,41.8796760401,-87.6295022827,POINT (-87.629502282668 41.879676040117),classic_bike
O1890464,BICYCLE,a0b457d151de15612fe2e4f3fb1d0b4a813317ffbc461a642a20a98d9df4ad35e0de943685319d52e7fad4b3937a78c4ab7af49c23edbb42bbab2ef857369ed4,08/23/2024 04:07:00 PM,M,29.0,HELMET NOT USED,ENTER FROM DRIVE/ALLEY,IN ROADWAY,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ADDISON ST,41.9471694213,-87.6644998468,POINT (-87.664499846814 41.947169421314),electric_bike
O1881269,BICYCLE,93b98ff91e7e850296271ae25e65885a9753f1ad6ec2bf47587bcb6ab97e0755c6200b3b0a1c8d1715826f93ec8428ef02e5191f2a98c4fa3137a190aca7cec3,08/09/2024 09:15:00 PM,F,25.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),OTHER ACTION,BIKEWAY,TEST NOT OFFERED,,35,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HALSTED ST,41.8648845442,-87.6467036088,POINT (-87.64670360884 41.864884544168),electric_bike
O1880453,BICYCLE,54f4809fd3ad05c8335819bf18d1e51cc13571f5e5cd0101203eaea3a3c22b6368b3cfeba87632ab263d4263ee7f7effbf2b6fa714362ce6fa76d575b7ed202f,08/08/2024 01:50:00 PM,M,37.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),NO ACTION,IN ROADWAY,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,LELAND AVE,41.9669732778,-87.6668827799,POINT (-87.666882779925 41.966973277826),electric_bike
O1877860,BICYCLE,dd77503acd38c6043601b3d16858d473219355ecb9128b9870127d65d6120e18ae50baaae839c9ec058f3ca06961c35d9b64c6ba623b76f8bd760fb31ec4f6ac,08/04/2024 06:10:00 PM,M,25.0,HELMET NOT USED,OTHER ACTION,SHOULDER,,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,LAKE ST,41.885592272,-87.6420002935,POINT (-87.642000293519 41.885592271974),classic_bike
O1877168,BICYCLE,c42d7f6db350b51dc2d3b40807e97a63cdc0d99d64e8bce8ea9a22f1b94d9e66f678dc908ea32c6883863d7ce59eb7523596fd6dcd4c708646f9d616702595c2,08/03/2024 07:27:00 PM,M,11.0,HELMET NOT USED,AGAINST TRAFFIC,IN CROSSWALK,TEST NOT OFFERED,,30,CLEAR,DUSK,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,ASHLAND AVE,41.9032981952,-87.6676408142,POINT (-87.667640814158 41.903298195238),classic_bike
O1874281,NON-MOTOR VEHICLE,f8017071882e52fd60fa4d2783c91568b994f513323e0df4e46643cce15323b894a4b48cb3f291e007717c6a3b89ea4f9313e53737777122c09ef9d33fbe8bf2,07/30/2024 06:02:00 PM,M,,NONE PRESENT,,,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,BROADWAY,41.9373384373,-87.6444564715,POINT (-87.644456471505 41.937338437309),electric_bike
O1874502,BICYCLE,80c624c447482e11059f51b4b459d07c1e5b967b36ce0b97896d38acd847f06592ae629ff0b4a9a2803ff7618f2a243036b960c862e7677c6252c547e06417dc,07/30/2024 04:30:00 PM,M,24.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),CROSSING - CONTROLS PRESENT (NOT AT INTERSECTION),BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,TAYLOR ST,41.8695709595,-87.6540092069,POINT (-87.654009206899 41.869570959539),classic_bike
O1866886,BICYCLE,5c336b912d8b7c4dc2a0f59c317237fb38e94109e3c739e157ecdef1659235f7ad824cbc4918da0b2d6d4ab035290843f2a9fe8bb122231f72042157517694ac,07/19/2024 04:15:00 PM,M,14.0,HELMET NOT USED,OTHER ACTION,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,LINCOLN AVE,41.9320668084,-87.6582330683,POINT (-87.658233068295 41.932066808405),classic_bike
O1867003,BICYCLE,b2a7272130b67c71cd7fd449ac0df75331ed94875bf61e00eab61aeb0460c46dc5a609555bd1cda3e12b1b97a274cda66d5bc5740112f9b2c6ee9f2bd8ca53bc,07/19/2024 11:00:00 AM,X,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,,,35,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,WELLS ST,41.8845039272,-87.6337491623,POINT (-87.633749162342 41.884503927245),classic_bike
O1865700,BICYCLE,dbb7c5c085239ad2d8f58f499a35c151434f4bb7142bc18ca75e24f17cb8ecb3a6a58b7e9654e75acba6b178ffdf7626cfdd5fb63b79264ecd3fb21ba5804db2,07/17/2024 07:50:00 PM,M,26.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DUSK,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,WAVELAND AVE,41.94902541,-87.6485827742,POINT (-87.648582774196 41.949025410023),electric_bike
O1864383,BICYCLE,8fc644db70d37cce4a5bf3047f0ffdc9ee78278948be87dfa4c36477d5d2b52040081211ff2aeda1a55dfe4be4a18bac35db2a21a7e68cd4071a8d338c17f49d,07/16/2024 08:01:00 AM,F,43.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),CROSSING - WITH SIGNAL,BIKEWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CORTLAND ST,41.9163625315,-87.666311232,POINT (-87.666311231958 41.91636253151),classic_bike
O1860577,BICYCLE,f162640fcfb0512f7c1a4937df036ba33d58423055deb94b304fb48b4160499471956f9e6570cf2f532a7875e4146e8b607e5561b97567586b372f6b5524b9ac,07/10/2024 05:21:00 PM,M,34.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,35,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HUBBARD ST,41.8899249572,-87.6300321139,POINT (-87.630032113914 41.88992495721),electric_bike
O1854097,BICYCLE,320338b0949868fb74b3949169ef5e6d25297277f72f687343dbd7d621454c94fce100b5362bac341598b44f1320e678eca93ce4b03d21ae2605b143f180d030,06/30/2024 10:04:00 PM,F,56.0,HELMET NOT USED,UNKNOWN/NA,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DEARBORN ST,41.8896342529,-87.6297442999,POINT (-87.629744299862 41.889634252878),electric_bike
O1853815,BICYCLE,9b768272688df10230a9fefe6960582a20d11f5f3f0bdaade7c9339cd119aedd128cf439669526f74a351a4e94bd3c72eefa4f755b5408f5ab8a9b9d8a0c0ee2,06/30/2024 01:56:00 PM,M,23.0,HELMET NOT USED,TURNING LEFT,IN ROADWAY,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,HURON ST,41.8949016164,-87.6342299275,POINT (-87.634229927548 41.894901616419),electric_bike
O1853436,BICYCLE,6e26f68dd2e569f347ffe10cca7f237c57e41b4c152a5a2d156a587db956cad21a1dcfe7277fa8d8bc369e2d24cbe0c92b98da6609e13e08a22a2858083418e5,06/29/2024 05:50:00 PM,M,20.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,MICHIGAN AVE,41.8782173453,-87.6244558403,POINT (-87.624455840297 41.878217345311),classic_bike
O1851520,BICYCLE,3ab1279b2ae70f406566e2fdd69707777bcceef9cbd6993c025f664a8ec64b177324d6b367c363825e2a9304c98d91b4726fa59e28b02222aabeec87762e9067,06/27/2024 09:40:00 AM,M,53.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),UNKNOWN/NA,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,NO INJURY / DRIVE AWAY,IRVING PARK RD,41.9545969221,-87.6546272474,POINT (-87.654627247399 41.954596922053),classic_bike
O1851409,BICYCLE,caa107cf4e91ff52192f18a11f5c72505f0a1dd0e3b0b755ae08b48cf57dc35c91513db67ce07eb69139e646562861fadba5137eed7cbfe028f09bab61c52193,06/27/2024 09:26:00 AM,M,36.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),TURNING LEFT,BIKE LANE,TEST NOT OFFERED,,35,CLEAR,DAYLIGHT,PEDALCYCLIST,Y-INTERSECTION,"CURVE, LEVEL",DRY,INJURY AND / OR TOW DUE TO CRASH,CLARENDON AVE,41.9532127227,-87.6498162757,POINT (-87.649816275697 41.953212722704),electric_bike
O1856731,BICYCLE,ad15204c22487e0bcdcf8780df840d286072897ef006b46b42226bee8fc8b73300d65bf0c10f5d60b6c3a3ba5b575b1e9581eda71291dc339f2ae6f1ff98674c,06/16/2024 03:13:00 PM,F,29.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,BIKEWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,LINCOLN AVE,41.9521017497,-87.677489986,POINT (-87.677489986046 41.952101749687),electric_bike
O1840873,BICYCLE,4c9396af0468f968f268f4d29dede854f21cfe2cc5dba824f1722a031a05c8f7e4bdadc81ef2955dde4deccf6ff9ab8b819dced5a18387903a899de2a2598d73,06/12/2024 05:23:00 PM,M,36.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,RACINE AVE,41.8616297134,-87.6563826697,POINT (-87.656382669729 41.861629713407),classic_bike
O1837214,BICYCLE,8a05c55f1dc0d18863ae788e82205b076254f3557589ae884ffc05bbabf69a196afa69331f10763aa583eccd0b2e26f556c4ccafa5ebb900eb48195da70c1a5d,06/07/2024 04:05:00 PM,M,25.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),UNKNOWN/NA,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,GRAND AVE,41.8917959811,-87.6266474462,POINT (-87.62664744621 41.891795981143),classic_bike
O1827230,BICYCLE,209cd7fd76337769d9beac20af61d65d5ce62201590bcd79a307dafcba444ff46e0188ff3fa2750a42aa78a35dadd3c872857985e291edb38f3235f1710dd31d,05/25/2024 01:53:00 PM,M,42.0,HELMET NOT USED,CROSSING - WITH SIGNAL,IN ROADWAY,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,RANDOLPH ST,41.8843729535,-87.6295986195,POINT (-87.629598619544 41.884372953468),classic_bike
O1822527,BICYCLE,4b20c0198d0a1b8f2f6d2a772ffdb8d3f264fc04e2124a510ee1686c202a7071bd62647931f9b088afb45f0ec365defcb34128a4ab4c6e00f3831dee71b866fd,05/19/2024 01:55:00 PM,M,41.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),UNKNOWN/NA,IN ROADWAY,TEST NOT OFFERED,,35,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9184483652,-87.6362638088,POINT (-87.636263808758 41.918448365232),classic_bike
O1819544,BICYCLE,bbace4cb40286cf946c9d7dc133e7f8cabcfd7fbca7b50c4815b506fc0459d5034863bdd6cc189e8e513e29bc41577387975c22bee5f25bd5470f74f30f460d8,05/15/2024 06:51:00 PM,F,21.0,HELMET NOT USED,TURNING LEFT,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,IRVING PARK RD,41.9545969221,-87.6546272474,POINT (-87.654627247399 41.954596922053),electric_bike
