PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,CRASH_DATE_x,SEX,AGE,SAFETY_EQUIPMENT,PEDPEDAL_ACTION,PEDPEDAL_LOCATION,BAC_RESULT,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION
O1977001,BICYCLE,1c4d43aa38a283af2de7dee0d2321659ac44cde4fc8504faa1602e7629e70220b965467f9e502371b32260ce70439815126e26f7760398015e0a651174654da2,12/27/2024 07:15:00 PM,M,42.0,HELMET NOT USED,CROSSING - AGAINST SIGNAL,IN ROADWAY,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT ON GRADE,WET,INJURY AND / OR TOW DUE TO CRASH,KIMBALL AVE,41.9265706376,-87.7123058019,POINT (-87.71230580187 41.926570637563)
O1976847,BICYCLE,18423b63fc0da8f49afc6b695e1280980debab5e922edf4cd7578862abb73617129b43868847042fd02ff3b52012a6c4b7951d68bc9961c7637bb5434971e5f0,12/27/2024 04:20:00 PM,M,51.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,LINCOLN AVE,41.9536066434,-87.6785394453,POINT (-87.678539445314 41.953606643369)
O1976839,BICYCLE,8de1a502b61751559b802dcdd88eaec9a39d7daed5e7dba720718e82c52e20e4c3e8f8f2a1e75bdeae683f63f9a6aae9474d0b138e276f3ddede108a24de2906,12/27/2024 03:40:00 PM,M,52.0,HELMET NOT USED,CROSSING - NO CONTROLS (AT INTERSECTION),IN CROSSWALK,TEST NOT OFFERED,,30,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,CHICAGO AVE,41.8964000539,-87.6537495116,POINT (-87.65374951159 41.896400053928)
O1976693,BICYCLE,fd0ccc5a81861ca006cac0457464f1156178de58bfd4b95481b545b934897724a33193588c18bfb566f67c6c1080a7e76d8a8ddbc4ce3d82a249d1dfcdbfe972,12/27/2024 12:20:00 PM,F,26.0,HELMET NOT USED,CROSSING - CONTROLS PRESENT (NOT AT INTERSECTION),IN CROSSWALK,TEST NOT OFFERED,,30,RAIN,DUSK,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,CENTRAL AVE,41.9404499106,-87.7664187168,POINT (-87.766418716825 41.940449910564)
O1976448,BICYCLE,d4808f5555a35a2aec8893916ce71648571af654d5ab2d518df3251878f766a9b6a0346ac42c096e688d8f9b957d90226d3651601017892bef1fb1638c2b169c,12/26/2024 09:00:00 PM,M,,HELMET NOT USED,CROSSING - AGAINST SIGNAL,IN ROADWAY,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,ADDISON ST,41.9464817787,-87.727494881,POINT (-87.727494880967 41.946481778729)
O1976401,BICYCLE,4c3ebb9db74db21f931891995c57b81158079413fc5ea8ab3deae6d0655a3c39df0e681e7b362421f057d1d7888b8c9574bc2f74745a785809602e4b4932ee4e,12/26/2024 07:02:00 PM,M,15.0,HELMET NOT USED,UNKNOWN/NA,BIKEWAY,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,WRIGHTWOOD AVE,41.9278958935,-87.755703942,POINT (-87.755703941966 41.927895893519)
O1976267,NON-MOTOR VEHICLE,6f3bb73333ea72eb70d7c138e329783d76598ebf6fdf27e858fb718d0b23924b6cd7f6ff366a01c9be78de9f024661dfe6678ad0a72726c611abb533505c00f7,12/26/2024 04:16:00 PM,M,35.0,,CROSSING - WITH SIGNAL,IN CROSSWALK,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,ANIMAL,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,PEORIA ST,41.8765948454,-87.6496832028,POINT (-87.649683202807 41.876594845362)
O1976670,BICYCLE,e482321776fad1d9aa249fe16c099717cf262e9d7f0d50edd7f91c24604a8bcfb5c882f31cbe70d57ae5525363663e2de7ab8faa61246c6a28e25642c714b346,12/26/2024 10:50:00 AM,M,26.0,HELMET NOT USED,NO ACTION,IN ROADWAY,TEST NOT OFFERED,Y,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,PETERSON AVE,41.9907771916,-87.6803347576,POINT (-87.680334757577 41.990777191562)
O1975536,BICYCLE,6dcb290b33c11278412a8e5bbea9a522a2e863ec5caa087b9ca9ebb39157802312091294d1531adb4fc85e8c637e24fe4770a1cf4556a9a91de454d6274bc613,12/24/2024 04:40:00 PM,X,,HELMET NOT USED,AGAINST TRAFFIC,IN ROADWAY,TEST NOT OFFERED,Y,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,NO INJURY / DRIVE AWAY,STONY ISLAND AVE,41.7659281922,-87.5864700779,POINT (-87.586470077922 41.76592819222)
O1974747,BICYCLE,0d39eeab26e5a7174d1f907d2af81af6da42682d2fc194aeb734591a84d463c1162665c5c4f0ad2c708aa0843735c6ae25f251412746be5392c65fdf88966cf7,12/23/2024 09:27:00 AM,F,74.0,HELMET NOT USED,UNKNOWN/NA,BIKEWAY,TEST NOT OFFERED,,30,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WASHINGTON ST,41.8833221991,-87.6297750966,POINT (-87.629775096643 41.88332219915)
O1973907,BICYCLE,4a23912219008492ed0616557c467b30fd57db6bc502827130a3ea50bdd7aa820cf4418befa1917cc4054d48d9c0849a440fb90b01ff9336db2b4708ddf256ab,12/21/2024 06:30:00 PM,M,31.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),OTHER ACTION,IN ROADWAY,TEST NOT OFFERED,,20,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,FINANCIAL PL,41.8767974408,-87.6332559102,POINT (-87.633255910224 41.876797440785)
O1973794,BICYCLE,d2280e8412a2fb23434669c1cf8e6cf70be2006094256057e42e53e2e75d4b6bb130c56b70c9c459e17f8099006a41af3201d861db8af92862c2855f187fee58,12/21/2024 03:02:00 PM,M,18.0,HELMET NOT USED,OTHER ACTION,DRIVEWAY ACCESS,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DRIVEWAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HOLLAND RD,41.7429548137,-87.6318780733,POINT (-87.631878073298 41.742954813703)
O1973762,BICYCLE,53205b00baddc4535da78c6f418c23bc472c3a5e9aff967b15f8d28f9e7446e19b8dbae1e2b61ef3ef92536c3efefd7bc00e1a12f96bb397be408a58008c8b1a,12/21/2024 02:45:00 PM,M,65.0,HELMET NOT USED,CROSSING - NO CONTROLS (NOT AT INTERSECTION),DRIVEWAY ACCESS,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,VINCENNES AVE,41.756231795,-87.6324323658,POINT (-87.632432365792 41.756231795022)
O1973727,NON-MOTOR VEHICLE,55f7d5e9fd84c265a1654b059f872d3ef559541dc6eb6d69579b9ec55a970c5bdd6d93960585c1842c1f5861b727b87e36a410b211c12552998e0b46e3dc8a1f,12/21/2024 02:20:00 PM,M,18.0,USAGE UNKNOWN,CROSSING - NO CONTROLS (AT INTERSECTION),BIKEWAY,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,OTHER OBJECT,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,16TH ST,41.8590295093,-87.7201287153,POINT (-87.720128715317 41.859029509296)
O1973733,NON-MOTOR VEHICLE,55f7d5e9fd84c265a1654b059f872d3ef559541dc6eb6d69579b9ec55a970c5bdd6d93960585c1842c1f5861b727b87e36a410b211c12552998e0b46e3dc8a1f,12/21/2024 02:20:00 PM,M,4.0,USAGE UNKNOWN,CROSSING - NO CONTROLS (AT INTERSECTION),BIKEWAY,TEST NOT OFFERED,,25,CLEAR,DAYLIGHT,OTHER OBJECT,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,16TH ST,41.8590295093,-87.7201287153,POINT (-87.720128715317 41.859029509296)
O1973801,BICYCLE,aa1e053a00e43ee5cbc61c837d339fb0a13e75f92fc96bf6df647f0e99cd84018800b474b5b208d6039af8dbbe2b26c98a2f1851b114c117bc2399cdac446340,12/21/2024 02:15:00 PM,X,,HELMET NOT USED,STANDING IN ROADWAY,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,14TH ST,41.8626813334,-87.7208761181,POINT (-87.720876118126 41.862681333412)
O1973804,BICYCLE,daf0b629c24887ad5f50c6db8985e545fcdd7f876ccd58567babd9bb48927829b3d327255ed4468fc6926a1eb95eb2e1b67847cde5f77c556dbf9265bf2f5227,12/21/2024 01:30:00 PM,M,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,SHOULDER,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,LEXINGTON ST,41.8726165395,-87.6631487976,POINT (-87.663148797581 41.872616539456)
O1973432,NON-MOTOR VEHICLE,ffe770c0c96e23933cda5660d4c7a503da1b9853ef22ec84bc5d516b7ace01e869f6b8c126db16c45b2cb615d7c1bdfebd490125c7060732af747b3ecb4408bf,12/21/2024 02:30:00 AM,,,,,UNKNOWN/NA,TEST NOT OFFERED,,25,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,OHARE ST,,,
O1973516,BICYCLE,0f17fd39c3841d9995b2bdaaa1f3705590c6026158cc518463d9d68d74a7a32ec02bb6d7e0d548c61503a798a4942848b66af41d2af6ada3aa111c242179b9ba,12/20/2024 06:30:00 PM,,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,DR MARTIN LUTHER KING JR DR,41.8306573126,-87.6168105257,POINT (-87.616810525655 41.830657312612)
O1973138,NON-MOTOR VEHICLE,4532d5fc19dcb81419462273d7d787347799ef43fba08ba8468cc26982ef1c405208bcdd7542825da19db57bfdda0fc1d2284abd3dc43e42a12997e532d6764f,12/20/2024 04:54:00 PM,,,USAGE UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,TEST NOT OFFERED,,15,CLEAR,DARKNESS,OTHER OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,FOSTER AVE,41.9759780821,-87.6920592931,POINT (-87.69205929311 41.975978082116)
O1972808,BICYCLE,6950d1a20e4f402e66c30f9a8713297c4bfef0c7190e0d8f237f91127285f8a2dab54063469baa682b43d2c184d4aaa23ff4917fd3fbc7a2e88aa323e75b7f4f,12/20/2024 11:15:00 AM,M,22.0,HELMET NOT USED,AGAINST TRAFFIC,IN CROSSWALK,TEST NOT OFFERED,,30,SNOW,DAYLIGHT,PEDALCYCLIST,PARKING LOT,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,NARRAGANSETT AVE,41.925793442,-87.7856645287,POINT (-87.785664528666 41.925793442027)
O1972521,BICYCLE,9988e6204f8f67e8517cc67ccb2c8d0c5b396cf8d2be2d05fca81db250e6a107afd43f4405db6b3933afdd76018eb2265158279674c8d0fbfcc6f4d0591f9985,12/19/2024 08:10:00 PM,M,43.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),TURNING LEFT,BIKEWAY,TEST NOT OFFERED,,35,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,INJURY AND / OR TOW DUE TO CRASH,WELLS ST,41.9057733753,-87.6346912953,POINT (-87.634691295253 41.90577337529)
O1972492,BICYCLE,a1f6b0b485c510edde4ee4905c6a25a260cae1e4309ea172c9f071b074f3e7d9395e9b1cad19323b613a11bb19ad244c3d1211b8d620e62ce2a2c3e35e8d4185,12/19/2024 07:05:00 PM,M,36.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,FRANKLIN ST,41.8866792167,-87.6352827752,POINT (-87.635282775245 41.886679216748)
O1973730,BICYCLE,89b82fdcd3b3ab6886c6f14e21b935d5a941322545b74687040207513eef5eb7bfb4fb88c0983c7e34ccdb52926bcc9c620cd52724298fd882433ae455b6125b,12/19/2024 06:15:00 PM,M,37.0,HELMET NOT USED,NO ACTION,IN ROADWAY,TEST NOT OFFERED,,30,UNKNOWN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MILWAUKEE AVE,41.9288490994,-87.7068172135,POINT (-87.706817213497 41.928849099448)
O1972810,BICYCLE,0a37bfcb91b372e971f4e97c4a00e124d69fc1bf2305dc34096c06f0bdf7b94b5fa3a044b6fdcfade81c9bae6ae98ff9a1ec2c7e537e635ed5597acee633546d,12/19/2024 11:55:00 AM,,,HELMET NOT USED,CROSSING - AGAINST SIGNAL,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,VINCENNES AVE,41.713919062,-87.6532306342,POINT (-87.653230634229 41.713919062022)
O1971866,BICYCLE,1db63dc64a24cb6d751a809221a8d0b412ea8d5b8cafb4ae754b4e060f8e69bd0f803d9a6ae30ccb7ee9f0357f8433e5fa9c24dbc1c124b99a5afc75deb1ed72,12/18/2024 09:30:00 PM,M,24.0,HELMET NOT USED,UNKNOWN/NA,BIKE LANE,,,30,CLEAR,DARKNESS,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,FULTON ST,41.8869147803,-87.6441153789,POINT (-87.644115378928 41.886914780283)
O1971845,BICYCLE,efe598a5b9977f54b5a18661706d33723ea9c67db8dc139e06b8ec9e72dbb87ff3e4228af5aecdce6c01b3dd190d867c80d5ab724c7f9a8a6639add0e5ac357e,12/18/2024 08:30:00 PM,M,,HELMET NOT USED,ENTER FROM DRIVE/ALLEY,NOT IN ROADWAY,TEST NOT OFFERED,,15,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,CATALPA AVE,41.9811986052,-87.7844760145,POINT (-87.78447601447 41.981198605171)
O1974781,BICYCLE,8d52494c094209e5b37e35796737743778f44647a552778a770e7d6b9880cc6b86d9d1b76ff5219677e3204c8940c6e1f0cb82809fb99fbb7b607d2de2a4f184,12/18/2024 07:30:00 PM,M,72.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),CROSSING - NO CONTROLS (NOT AT INTERSECTION),IN CROSSWALK,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WESTERN AVE,41.8806774095,-87.6865668913,POINT (-87.686566891285 41.880677409479)
O1971815,BICYCLE,8886e98ccb3eba5ed28fd48651cb9ccd764394064b5d7c4cca1197277d6323e8870a410fc2eaca0afe8d9282a23685b547e5ed02cf18c3db95ac917e45a6e62a,12/18/2024 07:02:00 PM,M,17.0,HELMET NOT USED,WITH TRAFFIC,IN CROSSWALK,TEST NOT OFFERED,,30,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,LAWRENCE AVE,41.9679739892,-87.74277567,POINT (-87.742775669963 41.967973989224)
O1971737,NON-MOTOR VEHICLE,e22346c42d2b221235ef7171a52dafd5de865af8568f7633f40f462ca0c876e2737126019c1acb8f7c233b0fcd0d62b7faa6c1b1fb93057233071305f36bb22d,12/18/2024 06:00:00 PM,F,30.0,NONE PRESENT,OTHER ACTION,NOT IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,79TH ST,41.7510279469,-87.613771509,POINT (-87.613771509042 41.75102794691)
O1971618,BICYCLE,1d63370bbae72bff5ddf196b32495dd05c4c12693a0b79b3fae5bdec1b95425f3395d9e4777e72059a5c6b9e89c5b1067cadd59066f6c84c3d1b478433763ab3,12/18/2024 03:31:00 PM,M,53.0,HELMET NOT USED,CROSSING - WITH SIGNAL,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,26TH ST,,,
O1971445,BICYCLE,c8d0b21cde112b21aff60fa48d98058a81cc964b4308589658a7c944cc9ccfd4c7351b3b1a8e893bd23738ba259942317bd259d6b73b732bf95de8f056d665c6,12/18/2024 11:07:00 AM,M,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9307787217,-87.6437819717,POINT (-87.64378197171 41.930778721657)
O1972093,NON-MOTOR VEHICLE,de42aa1b49616b2164c3c037e272b87c02f28bb15db28ce51ee5b07849738b52efb56f1597d1e6b86205c567db2ea5a03024282f5783ce211bfc1e927d68c5e7,12/18/2024 09:00:00 AM,,,USAGE UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,TEST NOT OFFERED,,20,UNKNOWN,UNKNOWN,OTHER OBJECT,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,NO INJURY / DRIVE AWAY,FAIRFIELD AVE,41.9925642148,-87.6983974814,POINT (-87.698397481365 41.992564214774)
O1970982,BICYCLE,32a8436be5958efcfe22db703973fbf315c497e81ab4b5dcde0f9c7efed21cbdffb903cd8a995e44dea8eb4fb44d50faf493f97b23cf43b5e68a60e1f887b927,12/17/2024 04:19:00 PM,M,23.0,HELMET NOT USED,CROSSING - NO CONTROLS (AT INTERSECTION),BIKEWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,NARRAGANSETT AVE,41.9438706806,-87.7864396198,POINT (-87.786439619809 41.943870680649)
O1970918,BICYCLE,3194b44ed797c90ee122b22e23d658b9e52e951e810d8598fc2671386a5829982b296fbb39da30892f14fcfd74688a398e3a2ac0c774d8a0665626d38439d2ba,12/17/2024 02:51:00 PM,M,38.0,HELMET NOT USED,UNKNOWN/NA,BIKEWAY,TEST NOT OFFERED,N,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,KEDZIE AVE,41.8502690105,-87.7050629181,POINT (-87.705062918111 41.850269010468)
O1970869,NON-MOTOR VEHICLE,d588522bf9e5f17799fa3e1273c1a3529453eaac6737fac628c8f77695c74674a0005cad66961b3c9e77dcbeee14d7799474aeef654f857874ba8097015304de,12/17/2024 01:48:00 PM,X,,USAGE UNKNOWN,,,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLYBOURN AVE,41.9288373849,-87.67397132,POINT (-87.673971319994 41.928837384913)
